Var1,Var2,Var3,Var4
strain [%],shear stress [Pa],storage modulus [Pa],loss modulus [Pa]
0.625,0.00182,0.226,0.183
0.387,0.00155,0,0.401
0.707,0.0027,0.335,0.184
1.24,0.00351,0.177,0.222
1.16,0.00252,0.165,0.141
2.2,0.00422,0,0.192
2.49,0.00508,0.0429,0.2
2.81,0.00735,0.154,0.211
3.31,0.00916,0.191,0.201
3.94,0.0108,0.202,0.187
4.66,0.013,0.182,0.212
5.81,0.016,0.204,0.185
6.98,0.0191,0.187,0.2
8.27,0.0237,0.201,0.205
10.6,0.03,0.2,0.201
12.6,0.0348,0.189,0.201
15.7,0.0434,0.192,0.199
19,0.0527,0.191,0.201
23,0.0638,0.195,0.197
28.4,0.078,0.187,0.201
35.6,0.0949,0.183,0.194
43.5,0.115,0.178,0.196
54.3,0.141,0.172,0.194
68.2,0.17,0.16,0.191
86.3,0.207,0.149,0.188
113,0.254,0.129,0.184
150,0.309,0.106,0.177
204,0.377,0.0828,0.166
280,0.46,0.0616,0.152
391,0.559,0.0431,0.136
560,0.68,0.0258,0.119
832,0.831,0.0122,0.0991
1250,1.01,0.00179,0.0812
1610,1.15,0,0.0712
