Var1,Var2,Var3,Var4
strain [%],shear stress [Pa],storage modulus [Pa],loss modulus [Pa]
0.6143,0.001796,0.2404,0.1664
0.9751,0.002425,0.1292,0.2125
1.113,0.002606,0.1115,0.206
1.303,0.00297,0.1105,0.1993
1.676,0.003859,0.1305,0.1897
1.861,0.004727,0.1483,0.2061
2.371,0.006327,0.1709,0.205
2.784,0.007283,0.1543,0.2113
3.206,0.008719,0.1854,0.199
4.042,0.01043,0.159,0.2031
5.12,0.01318,0.1675,0.1956
6.203,0.016,0.1672,0.1964
7.595,0.01932,0.1643,0.1942
9.191,0.02391,0.1671,0.1994
11.11,0.02906,0.17,0.1987
13.63,0.03535,0.1682,0.1975
16.64,0.04298,0.1682,0.1961
20.29,0.05256,0.1664,0.1985
24.97,0.06396,0.1637,0.197
30.53,0.07769,0.1619,0.1963
37.27,0.09456,0.1602,0.1967
46.24,0.1156,0.1559,0.1955
57.18,0.1405,0.1518,0.1933
70.2,0.1719,0.1491,0.1943
88.24,0.2085,0.1394,0.1908
111.4,0.2542,0.1292,0.188
143.3,0.3107,0.116,0.1831
186.6,0.3778,0.09947,0.1763
251.2,0.4618,0.07822,0.1663
346,0.5605,0.0547,0.1525
482.5,0.6828,0.03716,0.1365
700.5,0.8337,0.0175,0.1177
1023,1.016,0.007965,0.09897
1508,1.237,0.005139,0.08182
