Var1,Var2,Var3,Var4
shear rate [1/s],shear stress [Pa],viscosity [Pa s],Torque [μN m]
0.0102,0.00305,0.3,0.0746
0.0105,0.00322,0.308,0.0786
0.0108,0.00327,0.303,0.0799
0.0112,0.00315,0.282,0.0771
0.0115,0.00329,0.285,0.0803
0.0119,0.00344,0.288,0.084
0.0123,0.00351,0.285,0.0858
0.0127,0.00365,0.287,0.0891
0.0131,0.0035,0.266,0.0856
0.0136,0.00368,0.271,0.0899
0.014,0.00392,0.28,0.0958
0.0145,0.00376,0.26,0.0918
0.0149,0.00407,0.273,0.0995
0.0154,0.00418,0.272,0.102
0.016,0.00401,0.251,0.098
0.0165,0.00426,0.259,0.104
0.017,0.00467,0.275,0.114
0.0176,0.00442,0.251,0.108
0.0182,0.00462,0.254,0.113
0.0187,0.00483,0.258,0.118
0.0194,0.00481,0.248,0.118
0.02,0.00522,0.262,0.128
0.0206,0.00493,0.239,0.12
0.0214,0.00516,0.242,0.126
0.022,0.00578,0.263,0.141
0.0227,0.00542,0.238,0.132
0.0235,0.00547,0.233,0.134
0.0243,0.00581,0.239,0.142
0.025,0.00634,0.253,0.155
0.0259,0.00638,0.247,0.156
0.0267,0.00633,0.237,0.155
0.0276,0.00645,0.234,0.158
0.0285,0.00689,0.242,0.168
0.0294,0.00702,0.239,0.172
0.0304,0.00681,0.224,0.166
0.0314,0.00738,0.235,0.18
0.0324,0.00765,0.236,0.187
0.0335,0.00755,0.225,0.185
0.0346,0.00771,0.223,0.188
0.0357,0.00849,0.238,0.208
0.0369,0.00872,0.236,0.213
0.0381,0.0089,0.233,0.217
0.0394,0.00889,0.226,0.217
0.0407,0.00911,0.224,0.223
0.042,0.00988,0.235,0.242
0.0434,0.00983,0.227,0.24
0.0448,0.00981,0.219,0.24
0.0463,0.0106,0.23,0.26
0.0478,0.011,0.23,0.268
0.0494,0.011,0.223,0.269
0.051,0.0114,0.224,0.279
0.0527,0.0113,0.214,0.276
0.0544,0.0118,0.217,0.288
0.0562,0.0122,0.218,0.299
0.058,0.0127,0.219,0.311
0.0599,0.0134,0.224,0.328
0.0619,0.0138,0.222,0.336
0.064,0.0139,0.217,0.34
0.066,0.0147,0.222,0.358
0.0682,0.0147,0.216,0.359
0.0705,0.0145,0.206,0.355
0.0727,0.0156,0.215,0.382
0.0751,0.0161,0.215,0.394
0.0775,0.0169,0.218,0.414
0.0802,0.0171,0.213,0.418
0.0827,0.0178,0.215,0.435
0.0855,0.0181,0.211,0.441
0.0883,0.0185,0.209,0.452
0.0912,0.0191,0.21,0.468
0.0943,0.0199,0.211,0.486
0.0973,0.0202,0.207,0.493
0.101,0.0204,0.202,0.498
0.104,0.0221,0.213,0.541
0.107,0.0224,0.209,0.547
0.111,0.0228,0.206,0.558
0.114,0.0236,0.207,0.577
0.118,0.0244,0.207,0.597
0.122,0.0251,0.206,0.612
0.126,0.0256,0.203,0.626
0.13,0.026,0.2,0.635
0.134,0.0265,0.198,0.649
0.139,0.0281,0.202,0.686
0.143,0.0281,0.196,0.687
0.148,0.0282,0.191,0.69
0.153,0.0308,0.202,0.753
0.158,0.0313,0.198,0.764
0.163,0.0326,0.2,0.796
0.169,0.0303,0.18,0.74
0.174,0.0333,0.191,0.814
0.18,0.0339,0.188,0.827
0.186,0.0356,0.192,0.869
0.192,0.0367,0.191,0.896
0.198,0.0363,0.183,0.888
0.205,0.0367,0.179,0.896
0.211,0.0381,0.18,0.931
0.218,0.0389,0.178,0.95
0.225,0.0397,0.176,0.971
0.233,0.041,0.176,1
0.24,0.0415,0.173,1.01
0.248,0.0429,0.173,1.05
0.256,0.0444,0.173,1.09
0.265,0.045,0.17,1.1
0.273,0.0469,0.172,1.15
