Var1,Var2,Var3,Var4
shear rate [1/s],shear stress [Pa],viscosity [Pa s],Torque [μN m]
0.0101,0.00572,0.564,0.14
0.0105,0.00615,0.587,0.15
0.0108,0.00623,0.577,0.152
0.0112,0.00615,0.549,0.15
0.0115,0.00671,0.582,0.164
0.0119,0.00678,0.569,0.166
0.0123,0.00704,0.571,0.172
0.0127,0.00724,0.57,0.177
0.0131,0.00742,0.566,0.181
0.0136,0.00773,0.57,0.189
0.014,0.00792,0.567,0.194
0.0145,0.00776,0.534,0.19
0.0149,0.00852,0.572,0.208
0.0154,0.00854,0.553,0.209
0.0159,0.00882,0.553,0.215
0.0165,0.00912,0.555,0.223
0.017,0.00918,0.539,0.224
0.0176,0.00963,0.548,0.235
0.0181,0.0102,0.567,0.251
0.0188,0.00966,0.514,0.236
0.0193,0.0105,0.544,0.257
0.0199,0.0106,0.533,0.26
0.0207,0.0106,0.513,0.259
0.0213,0.0112,0.528,0.275
0.022,0.0115,0.521,0.28
0.0228,0.0114,0.5,0.279
0.0234,0.0124,0.528,0.302
0.0243,0.0124,0.509,0.302
0.0251,0.0124,0.494,0.303
0.0258,0.0136,0.525,0.332
0.0267,0.0138,0.518,0.338
0.0276,0.0142,0.514,0.347
0.0285,0.015,0.527,0.367
0.0294,0.0153,0.518,0.373
0.0304,0.016,0.526,0.391
0.0314,0.0163,0.519,0.398
0.0324,0.0167,0.515,0.408
0.0335,0.0175,0.524,0.429
0.0346,0.0181,0.523,0.442
0.0358,0.0183,0.511,0.447
0.0369,0.0189,0.513,0.463
0.0381,0.0195,0.511,0.476
0.0393,0.0201,0.511,0.491
0.0406,0.021,0.517,0.514
0.0421,0.021,0.498,0.512
0.0434,0.0221,0.51,0.541
0.0448,0.0227,0.506,0.554
0.0463,0.0232,0.5,0.566
0.0478,0.0245,0.512,0.598
0.0493,0.0246,0.498,0.601
0.051,0.0248,0.487,0.607
0.0526,0.0267,0.508,0.653
0.0544,0.0268,0.493,0.656
0.0562,0.0278,0.494,0.678
0.058,0.0289,0.499,0.708
0.0599,0.0293,0.489,0.716
0.0619,0.0304,0.491,0.743
0.0639,0.0315,0.493,0.769
0.066,0.0322,0.488,0.788
0.0682,0.0336,0.493,0.822
0.0704,0.0343,0.488,0.839
0.0728,0.0346,0.476,0.847
0.0751,0.0363,0.483,0.887
0.0776,0.0372,0.479,0.908
0.0801,0.0386,0.481,0.942
0.0828,0.0392,0.474,0.959
0.0854,0.0408,0.477,0.997
0.0882,0.0424,0.481,1.04
0.0912,0.0427,0.469,1.04
0.0941,0.044,0.467,1.08
0.0972,0.045,0.463,1.1
0.1,0.0472,0.47,1.15
0.104,0.047,0.453,1.15
0.107,0.0479,0.447,1.17
0.111,0.0501,0.453,1.23
0.114,0.0509,0.445,1.24
0.118,0.0521,0.441,1.27
0.122,0.0528,0.433,1.29
0.126,0.0546,0.433,1.33
0.13,0.0562,0.433,1.37
0.134,0.057,0.424,1.39
0.139,0.0579,0.417,1.42
0.143,0.0606,0.423,1.48
0.148,0.0607,0.41,1.48
0.153,0.061,0.399,1.49
0.158,0.0629,0.398,1.54
0.163,0.0639,0.391,1.56
0.168,0.0676,0.401,1.65
0.174,0.068,0.391,1.66
0.18,0.0695,0.387,1.7
0.185,0.0714,0.385,1.75
0.192,0.0721,0.376,1.76
0.198,0.0747,0.378,1.82
0.205,0.0751,0.367,1.84
0.211,0.0757,0.358,1.85
0.218,0.079,0.363,1.93
0.225,0.0793,0.352,1.94
0.233,0.0797,0.342,1.95
0.24,0.0821,0.342,2.01
0.248,0.0821,0.331,2.01
0.256,0.0833,0.325,2.04
0.265,0.0847,0.32,2.07
0.273,0.0871,0.318,2.13
0.283,0.0872,0.309,2.13
0.292,0.0902,0.309,2.2
0.301,0.0918,0.305,2.24
0.311,0.0918,0.295,2.24
0.321,0.0932,0.29,2.28
0.332,0.0975,0.294,2.38
0.343,0.0956,0.279,2.34
0.354,0.1,0.283,2.44
0.366,0.0989,0.271,2.42
0.378,0.102,0.269,2.48
0.39,0.102,0.261,2.49
0.403,0.106,0.262,2.58
0.416,0.106,0.255,2.6
0.43,0.109,0.254,2.67
0.444,0.111,0.25,2.71
0.459,0.11,0.24,2.69
0.473,0.113,0.238,2.75
0.489,0.115,0.234,2.8
0.505,0.117,0.232,2.87
0.522,0.119,0.228,2.91
0.539,0.122,0.226,2.98
0.557,0.121,0.217,2.95
0.575,0.123,0.213,3
0.593,0.129,0.217,3.14
0.613,0.128,0.208,3.12
0.633,0.13,0.206,3.19
0.654,0.131,0.2,3.2
0.676,0.134,0.198,3.27
0.698,0.136,0.194,3.32
0.721,0.137,0.19,3.34
0.744,0.14,0.188,3.42
0.769,0.142,0.185,3.48
0.794,0.143,0.18,3.49
0.82,0.145,0.176,3.54
0.847,0.151,0.178,3.68
0.875,0.151,0.172,3.68
0.904,0.152,0.168,3.72
0.933,0.156,0.168,3.82
0.964,0.157,0.163,3.83
0.995,0.16,0.161,3.91
1.03,0.163,0.159,3.99
1.06,0.165,0.155,4.03
1.1,0.169,0.154,4.12
1.13,0.17,0.15,4.15
1.17,0.173,0.148,4.23
1.21,0.176,0.146,4.31
1.25,0.178,0.143,4.36
1.29,0.181,0.14,4.42
1.33,0.183,0.137,4.47
1.37,0.187,0.136,4.56
1.42,0.189,0.133,4.62
1.47,0.191,0.131,4.68
1.51,0.195,0.129,4.76
1.56,0.198,0.126,4.84
1.62,0.201,0.124,4.91
1.67,0.205,0.123,5.02
1.72,0.208,0.12,5.08
