Var1,Var2,Var3,Var4
strain [%],shear stress [Pa],storage modulus [Pa],loss modulus [Pa]
0.9681,0.002258,0.1736,0.1558
0.8676,0.00205,0.1788,0.1545
0.9763,0.00275,0.1676,0.2265
1.017,0.003255,0.222,0.2303
1.361,0.004995,0.2661,0.253
1.576,0.004856,0.2237,0.2118
1.877,0.006046,0.223,0.2323
2.292,0.007153,0.2296,0.2113
2.889,0.008883,0.2266,0.2079
3.382,0.01067,0.2286,0.2175
4.055,0.01309,0.2269,0.2297
5.072,0.0159,0.2185,0.2247
6.015,0.01984,0.2358,0.2306
7.632,0.02346,0.2174,0.2174
9.196,0.02952,0.2311,0.2228
10.91,0.03515,0.2277,0.2278
13.54,0.04358,0.2249,0.2303
16.41,0.0524,0.2262,0.2254
20.05,0.0639,0.2258,0.2249
24.47,0.07751,0.2246,0.2234
30.26,0.09528,0.2195,0.2258
36.9,0.116,0.2184,0.2259
45.43,0.1403,0.2145,0.2222
56.85,0.1713,0.205,0.2208
71.1,0.209,0.1947,0.2202
89.91,0.2536,0.1805,0.2167
117.2,0.3101,0.1597,0.2111
154.9,0.3769,0.1339,0.2031
212.2,0.4605,0.1041,0.1904
295.1,0.5597,0.07493,0.1742
427.6,0.6833,0.04611,0.153
634.3,0.8317,0.02268,0.1291
957.9,1.012,0.008337,0.1053
1443,1.232,0.006068,0.08519
