Var1,Var2,Var3,Var4
strain [%],shear stress [Pa],storage modulus [Pa],loss modulus [Pa]
0.723,0.0014,0.11,0.159
0.582,0.0019,0.223,0.238
0.72,0.00261,0.255,0.258
0.777,0.00367,0.163,0.442
0.935,0.00456,0.325,0.364
1.2,0.00466,0.276,0.273
1.57,0.00573,0.254,0.262
1.76,0.00736,0.307,0.284
2.12,0.0088,0.308,0.277
2.59,0.011,0.3,0.302
3.13,0.013,0.296,0.292
3.78,0.0159,0.324,0.27
4.69,0.0194,0.309,0.276
5.76,0.0239,0.304,0.282
7.04,0.0285,0.296,0.277
8.53,0.0355,0.309,0.277
10.5,0.043,0.305,0.274
12.7,0.053,0.312,0.278
15.6,0.0641,0.302,0.277
19.1,0.0782,0.303,0.277
23.3,0.0949,0.3,0.275
28.7,0.116,0.297,0.275
35.1,0.141,0.293,0.276
43.6,0.172,0.286,0.273
53.9,0.209,0.277,0.271
67.7,0.256,0.265,0.269
85.2,0.309,0.246,0.266
111,0.378,0.219,0.259
148,0.458,0.184,0.25
204,0.56,0.144,0.234
289,0.681,0.105,0.211
427,0.832,0.0697,0.182
642,1.01,0.0459,0.151
1020,1.23,0.0221,0.118
1660,1.5,0.0079,0.09
