Var1,Var2,Var3,Var4
shear rate [1/s],shear stress [Pa],viscosity [Pa s],Torque [μN m]
0.0102,0.00793,0.78,0.194
0.0105,0.00839,0.802,0.205
0.0108,0.00876,0.81,0.214
0.0112,0.00869,0.778,0.212
0.0115,0.00929,0.807,0.227
0.0119,0.00936,0.786,0.229
0.0123,0.00957,0.777,0.234
0.0127,0.0101,0.793,0.246
0.0132,0.01,0.763,0.245
0.0135,0.0107,0.79,0.261
0.014,0.0107,0.765,0.262
0.0145,0.0112,0.77,0.273
0.0149,0.0116,0.778,0.284
0.0154,0.0121,0.782,0.295
0.0159,0.0123,0.77,0.3
0.0164,0.0128,0.781,0.314
0.017,0.0129,0.758,0.314
0.0176,0.0133,0.756,0.325
0.0181,0.0137,0.755,0.334
0.0187,0.0139,0.744,0.341
0.0193,0.0145,0.748,0.353
0.02,0.0148,0.742,0.362
0.0207,0.0152,0.736,0.372
0.0213,0.0159,0.743,0.388
0.0221,0.016,0.727,0.392
0.0228,0.0166,0.727,0.405
0.0235,0.0175,0.744,0.427
0.0243,0.0178,0.735,0.436
0.0251,0.0179,0.713,0.437
0.0259,0.0187,0.724,0.458
0.0267,0.0195,0.731,0.477
0.0276,0.0205,0.743,0.501
0.0285,0.021,0.736,0.512
0.0294,0.0214,0.726,0.522
0.0303,0.0223,0.736,0.546
0.0313,0.023,0.735,0.562
0.0324,0.0232,0.715,0.567
0.0335,0.0243,0.726,0.594
0.0346,0.0251,0.726,0.613
0.0357,0.0255,0.713,0.623
0.037,0.0256,0.692,0.626
0.0381,0.0267,0.7,0.652
0.0393,0.0276,0.702,0.675
0.0406,0.0295,0.726,0.721
0.042,0.03,0.716,0.734
0.0433,0.0305,0.705,0.746
0.0447,0.0323,0.723,0.79
0.0463,0.0324,0.701,0.793
0.0477,0.0344,0.72,0.84
0.0493,0.0341,0.692,0.835
0.0511,0.0346,0.677,0.846
0.0527,0.0365,0.692,0.891
0.0544,0.0375,0.689,0.917
0.0562,0.039,0.695,0.954
0.058,0.0404,0.697,0.988
0.0599,0.0415,0.694,1.02
0.0618,0.0427,0.691,1.04
0.0638,0.0437,0.684,1.07
0.066,0.0444,0.673,1.09
0.0682,0.0461,0.677,1.13
0.0704,0.0477,0.678,1.17
0.0728,0.0479,0.658,1.17
0.0751,0.0494,0.658,1.21
0.0776,0.0511,0.658,1.25
0.08,0.0527,0.658,1.29
0.0828,0.0532,0.642,1.3
0.0855,0.0548,0.641,1.34
0.0882,0.057,0.646,1.39
0.0912,0.0575,0.631,1.41
0.0941,0.0595,0.632,1.45
0.0972,0.0609,0.627,1.49
0.1,0.064,0.639,1.57
0.104,0.0645,0.622,1.58
0.107,0.0645,0.601,1.58
0.111,0.0683,0.617,1.67
0.114,0.069,0.604,1.69
0.118,0.0706,0.598,1.72
0.122,0.0724,0.594,1.77
0.126,0.0741,0.589,1.81
0.13,0.0757,0.583,1.85
0.134,0.0774,0.576,1.89
0.139,0.078,0.561,1.91
0.143,0.0828,0.579,2.02
0.148,0.0824,0.557,2.01
0.153,0.0822,0.537,2.01
0.158,0.085,0.538,2.08
0.163,0.0857,0.525,2.09
0.168,0.0919,0.546,2.25
0.174,0.0922,0.53,2.25
0.179,0.0957,0.533,2.34
0.185,0.0958,0.517,2.34
0.192,0.0968,0.505,2.37
0.198,0.1,0.506,2.44
0.204,0.102,0.497,2.48
0.211,0.103,0.489,2.52
0.218,0.106,0.484,2.58
0.225,0.106,0.472,2.6
0.233,0.108,0.464,2.64
0.24,0.111,0.464,2.72
0.248,0.112,0.45,2.73
0.256,0.113,0.442,2.77
0.265,0.114,0.43,2.78
0.273,0.118,0.43,2.88
0.283,0.118,0.419,2.9
0.292,0.121,0.415,2.96
0.301,0.124,0.412,3.03
0.311,0.124,0.398,3.02
0.321,0.125,0.389,3.06
0.332,0.131,0.395,3.2
0.343,0.128,0.373,3.13
0.354,0.135,0.381,3.29
0.366,0.133,0.364,3.25
0.378,0.136,0.36,3.32
0.39,0.137,0.351,3.35
0.403,0.142,0.353,3.47
0.416,0.142,0.342,3.48
0.43,0.145,0.337,3.54
0.444,0.147,0.331,3.6
0.459,0.147,0.32,3.59
0.473,0.15,0.318,3.68
0.489,0.153,0.313,3.75
0.505,0.155,0.306,3.78
0.522,0.158,0.302,3.85
0.539,0.162,0.3,3.95
0.557,0.16,0.288,3.91
0.575,0.163,0.283,3.98
0.593,0.169,0.285,4.14
0.613,0.167,0.272,4.08
0.633,0.171,0.27,4.18
0.654,0.171,0.262,4.19
0.675,0.177,0.262,4.33
0.698,0.178,0.255,4.35
0.721,0.178,0.247,4.35
0.744,0.183,0.246,4.47
0.769,0.186,0.242,4.55
0.794,0.186,0.234,4.54
0.82,0.189,0.23,4.62
0.847,0.196,0.232,4.79
0.875,0.196,0.224,4.79
0.904,0.197,0.218,4.82
0.933,0.202,0.216,4.94
0.964,0.204,0.211,4.98
0.995,0.208,0.209,5.08
1.03,0.211,0.205,5.16
1.06,0.214,0.201,5.22
1.1,0.218,0.199,5.32
1.13,0.219,0.194,5.36
1.17,0.223,0.19,5.45
1.21,0.227,0.188,5.55
1.25,0.229,0.183,5.6
1.29,0.233,0.18,5.68
1.33,0.235,0.177,5.75
1.37,0.24,0.174,5.86
1.42,0.242,0.171,5.93
1.47,0.245,0.167,6
1.51,0.25,0.165,6.11
1.56,0.253,0.162,6.18
1.62,0.257,0.159,6.29
1.67,0.262,0.157,6.41
1.72,0.265,0.154,6.48
1.78,0.269,0.151,6.57
1.84,0.274,0.149,6.69
1.9,0.276,0.145,6.75
1.96,0.279,0.142,6.83
2.03,0.285,0.141,6.97
2.09,0.289,0.138,7.07
2.16,0.293,0.135,7.15
2.23,0.298,0.133,7.27
2.31,0.303,0.131,7.4
2.38,0.306,0.128,7.47
2.46,0.311,0.126,7.6
2.54,0.314,0.124,7.67
2.62,0.319,0.122,7.81
2.71,0.323,0.119,7.9
2.8,0.329,0.117,8.03
2.89,0.333,0.115,8.14
2.99,0.338,0.113,8.25
3.08,0.343,0.111,8.37
3.18,0.347,0.109,8.49
3.29,0.353,0.107,8.63
3.4,0.358,0.105,8.74
3.51,0.362,0.103,8.86
3.62,0.368,0.101,8.99
3.74,0.373,0.0997,9.12
3.87,0.378,0.0978,9.24
3.99,0.384,0.0962,9.39
4.12,0.389,0.0944,9.52
4.26,0.395,0.0927,9.65
4.4,0.4,0.091,9.78
4.54,0.406,0.0893,9.92
4.69,0.411,0.0877,10.1
4.85,0.417,0.0861,10.2
5,0.423,0.0845,10.3
5.17,0.428,0.0828,10.5
5.34,0.434,0.0813,10.6
5.51,0.439,0.0797,10.7
5.7,0.446,0.0784,10.9
5.88,0.451,0.0767,11
6.08,0.457,0.0752,11.2
6.27,0.463,0.0738,11.3
6.48,0.469,0.0724,11.5
6.69,0.476,0.0711,11.6
6.91,0.482,0.0697,11.8
7.14,0.488,0.0684,11.9
7.37,0.495,0.0672,12.1
7.62,0.501,0.0658,12.3
