Var1,Var2,Var3,Var4
strain [%],shear stress [Pa],storage modulus [Pa],loss modulus [Pa]
0.467,0.00189,0.32,0.246
0.641,0.00214,0.278,0.185
0.607,0.00247,0.376,0.157
0.717,0.00168,0.119,0.201
0.89,0.00325,0.312,0.189
1.05,0.00373,0.314,0.161
1.79,0.00589,0.219,0.245
1.8,0.00541,0.193,0.229
2.38,0.00669,0.19,0.208
3.15,0.00881,0.186,0.209
3.65,0.0104,0.199,0.203
4.52,0.0132,0.202,0.211
5.61,0.0159,0.19,0.21
6.6,0.0196,0.205,0.216
7.95,0.0238,0.212,0.211
9.86,0.0292,0.203,0.216
12.2,0.0352,0.204,0.205
14.6,0.0429,0.203,0.212
18.2,0.0518,0.195,0.207
22.5,0.0638,0.192,0.208
27.6,0.078,0.191,0.209
34.3,0.0956,0.185,0.209
41.8,0.115,0.183,0.205
52.6,0.141,0.172,0.205
65.8,0.171,0.164,0.202
84.9,0.21,0.148,0.198
110,0.255,0.13,0.192
143,0.31,0.111,0.185
193,0.378,0.0889,0.175
261,0.461,0.0688,0.163
358,0.561,0.0499,0.148
500,0.683,0.0351,0.132
714,0.829,0.0207,0.114
1060,1.01,0.0101,0.095
1590,1.23,0.00152,0.0776
