Var1,Var2,Var3,Var4
strain [%],shear stress [Pa],storage modulus [Pa],loss modulus [Pa]
0.337,0.0011,0.2758,0.1745
0.4139,0.001166,0.258,0.1129
0.562,0.002089,0.2876,0.2356
0.7244,0.001904,0.1327,0.2269
0.8313,0.002415,0.2067,0.2042
1.137,0.003316,0.1882,0.2229
1.311,0.003759,0.1861,0.2182
1.619,0.004889,0.2042,0.2224
2.047,0.006009,0.1784,0.2331
2.293,0.007631,0.1891,0.2739
2.957,0.009194,0.2048,0.234
3.587,0.01075,0.2033,0.2202
4.191,0.01269,0.2057,0.2223
5.065,0.01617,0.23,0.2215
6.203,0.01959,0.219,0.2276
7.41,0.02373,0.2211,0.2316
9.041,0.0288,0.2201,0.2303
10.95,0.03524,0.2255,0.2297
13.38,0.04325,0.2241,0.233
16.33,0.0524,0.2234,0.2303
19.96,0.06371,0.2229,0.2284
24.33,0.07781,0.2235,0.2288
29.68,0.09524,0.2232,0.2305
36.63,0.1156,0.2172,0.2289
44.92,0.1413,0.2169,0.2277
55.47,0.172,0.2092,0.2289
69.05,0.2091,0.2026,0.2251
87.62,0.2555,0.1883,0.2226
112.1,0.3096,0.1698,0.2178
146.8,0.377,0.1481,0.2098
199.5,0.46,0.118,0.1981
279.3,0.5596,0.0849,0.1815
408.4,0.6831,0.05215,0.1589
603,0.831,0.02856,0.1348
913.5,1.011,0.01265,0.1099
1393,1.233,0.006648,0.08829
