Var1,Var2,Var3,Var4
shear rate [1/s],shear stress [Pa],viscosity [Pa s],Torque [μN m]
0.0101,0.00406,0.403,0.0993
0.0105,0.00367,0.35,0.0897
0.0109,0.00375,0.345,0.0917
0.0111,0.00452,0.406,0.11
0.0115,0.00435,0.378,0.106
0.012,0.00404,0.338,0.0987
0.0123,0.00451,0.366,0.11
0.0126,0.00495,0.392,0.121
0.0132,0.00446,0.339,0.109
0.0136,0.00478,0.352,0.117
0.014,0.0052,0.372,0.127
0.0145,0.00503,0.348,0.123
0.0149,0.00529,0.354,0.129
0.0154,0.00544,0.352,0.133
0.0159,0.00562,0.353,0.137
0.0165,0.0055,0.334,0.134
0.017,0.0061,0.359,0.149
0.0175,0.00604,0.344,0.148
0.0182,0.00623,0.343,0.152
0.0187,0.00639,0.341,0.156
0.0194,0.00675,0.349,0.165
0.0199,0.00715,0.358,0.175
0.0207,0.00637,0.308,0.156
0.0213,0.00754,0.354,0.184
0.022,0.00764,0.347,0.187
0.0227,0.00768,0.338,0.188
0.0236,0.00751,0.319,0.184
0.0242,0.00862,0.355,0.211
0.025,0.00891,0.356,0.218
0.0259,0.00864,0.333,0.211
0.0267,0.00939,0.352,0.229
0.0276,0.00922,0.334,0.225
0.0285,0.00952,0.333,0.233
0.0295,0.0103,0.349,0.252
0.0304,0.0105,0.345,0.256
0.0315,0.0108,0.342,0.263
0.0325,0.011,0.338,0.268
0.0335,0.0114,0.341,0.279
0.0346,0.0111,0.321,0.272
0.0358,0.0118,0.331,0.289
0.0368,0.013,0.354,0.319
0.0382,0.0128,0.335,0.312
0.0394,0.0134,0.341,0.329
0.0406,0.0133,0.326,0.324
0.042,0.0142,0.338,0.347
0.0434,0.0145,0.334,0.354
0.0448,0.0146,0.326,0.357
0.0463,0.0154,0.332,0.376
0.0478,0.0161,0.337,0.393
0.0494,0.0166,0.336,0.405
0.051,0.017,0.334,0.416
0.0526,0.0171,0.324,0.417
0.0544,0.018,0.331,0.44
0.0562,0.0188,0.334,0.458
0.058,0.0191,0.329,0.467
0.06,0.0195,0.325,0.477
0.0619,0.0206,0.332,0.502
0.0639,0.0212,0.331,0.517
0.0661,0.0211,0.319,0.516
0.0682,0.0217,0.319,0.531
0.0704,0.0227,0.323,0.555
0.0727,0.023,0.316,0.562
0.0751,0.0236,0.314,0.578
0.0775,0.0251,0.324,0.614
0.0802,0.0253,0.315,0.618
0.0827,0.0258,0.312,0.63
0.0855,0.0264,0.309,0.645
0.0884,0.0275,0.311,0.672
0.0912,0.0282,0.309,0.688
0.0942,0.0301,0.32,0.737
0.0973,0.0301,0.31,0.736
0.101,0.0296,0.294,0.723
0.104,0.032,0.309,0.783
0.107,0.0332,0.31,0.811
0.111,0.0329,0.297,0.803
0.114,0.0345,0.302,0.844
0.118,0.0361,0.306,0.883
0.122,0.0363,0.297,0.886
0.126,0.037,0.294,0.905
0.13,0.0376,0.289,0.92
0.134,0.0387,0.288,0.946
0.139,0.041,0.296,1
0.143,0.0398,0.277,0.972
0.148,0.0416,0.281,1.02
0.153,0.0445,0.292,1.09
0.158,0.0445,0.282,1.09
0.163,0.0465,0.285,1.14
0.169,0.0445,0.264,1.09
0.174,0.0476,0.274,1.16
0.18,0.0481,0.268,1.18
0.185,0.0503,0.271,1.23
0.192,0.0513,0.268,1.25
0.198,0.0515,0.26,1.26
0.204,0.0526,0.257,1.28
0.211,0.0533,0.252,1.3
0.218,0.0552,0.253,1.35
0.225,0.0561,0.249,1.37
0.233,0.0576,0.248,1.41
0.24,0.0582,0.242,1.42
0.248,0.0602,0.242,1.47
0.256,0.0615,0.24,1.5
0.265,0.0636,0.24,1.55
0.273,0.0648,0.237,1.58
0.282,0.0638,0.226,1.56
0.292,0.0678,0.232,1.66
0.301,0.0685,0.227,1.67
0.311,0.0702,0.226,1.72
0.321,0.0728,0.227,1.78
0.332,0.0709,0.213,1.73
0.343,0.0721,0.21,1.76
0.354,0.0733,0.207,1.79
0.365,0.077,0.211,1.88
0.378,0.0765,0.203,1.87
0.39,0.0779,0.2,1.9
0.403,0.0798,0.198,1.95
0.417,0.0783,0.188,1.91
0.43,0.0826,0.192,2.02
0.444,0.0837,0.189,2.05
0.459,0.0842,0.184,2.06
0.473,0.0891,0.188,2.18
0.489,0.0884,0.181,2.16
0.505,0.0903,0.179,2.21
0.522,0.09,0.172,2.2
0.539,0.0947,0.176,2.31
0.556,0.0963,0.173,2.35
0.574,0.0988,0.172,2.41
0.594,0.0979,0.165,2.39
0.613,0.102,0.166,2.49
0.633,0.102,0.162,2.5
0.654,0.106,0.161,2.58
0.676,0.104,0.154,2.54
0.698,0.106,0.153,2.6
0.72,0.112,0.155,2.73
0.744,0.112,0.15,2.74
0.769,0.115,0.149,2.8
0.794,0.117,0.148,2.86
0.82,0.119,0.145,2.91
0.847,0.121,0.143,2.96
0.875,0.123,0.141,3
0.903,0.125,0.139,3.06
0.933,0.126,0.135,3.07
0.964,0.129,0.134,3.15
0.995,0.132,0.132,3.22
1.03,0.136,0.132,3.32
1.06,0.139,0.131,3.4
1.1,0.139,0.127,3.41
1.13,0.143,0.126,3.49
1.17,0.146,0.125,3.57
1.21,0.146,0.121,3.58
1.25,0.15,0.12,3.66
1.29,0.152,0.118,3.71
1.33,0.155,0.116,3.79
1.37,0.157,0.114,3.83
1.42,0.159,0.112,3.88
1.47,0.162,0.11,3.95
1.51,0.165,0.109,4.04
1.56,0.169,0.108,4.12
1.62,0.171,0.106,4.17
1.67,0.173,0.104,4.24
1.72,0.175,0.102,4.29
1.78,0.18,0.101,4.39
1.84,0.182,0.099,4.45
1.9,0.185,0.0975,4.53
1.96,0.187,0.0956,4.58
2.03,0.191,0.0945,4.68
2.09,0.194,0.0927,4.74
2.16,0.198,0.0914,4.83
2.23,0.2,0.0898,4.9
2.31,0.204,0.0886,4.99
2.38,0.207,0.087,5.06
2.46,0.211,0.0857,5.15
2.54,0.213,0.084,5.22
2.62,0.217,0.0829,5.31
