Var1,Var2,Var3,Var4
shear rate [1/s],shear stress [Pa],viscosity [Pa s],Torque [μN m]
0.0101,0.00603,0.595,0.147
0.0105,0.00591,0.564,0.145
0.0108,0.00638,0.59,0.156
0.0111,0.00661,0.593,0.161
0.0115,0.00654,0.566,0.16
0.0119,0.00685,0.575,0.167
0.0123,0.00707,0.575,0.173
0.0127,0.00733,0.577,0.179
0.0131,0.00746,0.567,0.182
0.0136,0.00765,0.564,0.187
0.014,0.00801,0.572,0.196
0.0145,0.0081,0.56,0.198
0.0149,0.00858,0.575,0.21
0.0154,0.00857,0.555,0.209
0.0159,0.00897,0.563,0.219
0.0165,0.00921,0.56,0.225
0.017,0.00963,0.567,0.235
0.0176,0.0096,0.547,0.235
0.0181,0.0101,0.555,0.246
0.0187,0.0105,0.561,0.256
0.0193,0.0108,0.559,0.264
0.02,0.0112,0.558,0.273
0.0206,0.0113,0.547,0.276
0.0213,0.0118,0.553,0.288
0.022,0.0125,0.568,0.306
0.0227,0.0127,0.561,0.311
0.0235,0.013,0.551,0.317
0.0242,0.0135,0.556,0.33
0.025,0.0141,0.565,0.346
0.0259,0.0145,0.561,0.355
0.0267,0.0148,0.554,0.361
0.0276,0.0152,0.552,0.372
0.0285,0.0155,0.542,0.378
0.0294,0.0163,0.554,0.399
0.0304,0.0164,0.541,0.402
0.0314,0.0174,0.555,0.426
0.0324,0.0178,0.55,0.436
0.0335,0.0184,0.548,0.449
0.0346,0.0187,0.542,0.458
0.0357,0.0199,0.557,0.487
0.0369,0.0207,0.563,0.507
0.0381,0.0213,0.559,0.521
0.0394,0.0219,0.555,0.535
0.0406,0.0221,0.543,0.539
0.042,0.0232,0.553,0.568
0.0434,0.0241,0.556,0.589
0.0448,0.0243,0.543,0.594
0.0463,0.0251,0.542,0.613
0.0478,0.0264,0.553,0.645
0.0493,0.0272,0.551,0.665
0.0509,0.0277,0.544,0.678
0.0527,0.0278,0.528,0.679
0.0544,0.029,0.534,0.71
0.0561,0.0299,0.533,0.732
0.058,0.031,0.534,0.757
0.06,0.0318,0.53,0.777
0.0619,0.0328,0.53,0.801
0.0639,0.0341,0.534,0.835
0.066,0.0346,0.524,0.846
0.0682,0.0352,0.516,0.861
0.0704,0.0363,0.516,0.888
0.0727,0.0374,0.515,0.914
0.0751,0.0383,0.51,0.937
0.0775,0.0399,0.515,0.976
0.0802,0.0406,0.506,0.991
0.0827,0.0417,0.504,1.02
0.0855,0.0428,0.501,1.05
0.0884,0.0436,0.493,1.07
0.0912,0.0452,0.496,1.11
0.0942,0.0469,0.498,1.15
0.0973,0.0474,0.487,1.16
0.101,0.0482,0.48,1.18
0.104,0.0508,0.49,1.24
0.107,0.0522,0.488,1.28
0.111,0.052,0.47,1.27
0.114,0.0545,0.476,1.33
