Var1,Var2,Var3,Var4
strain [%],shear stress [Pa],storage modulus [Pa],loss modulus [Pa]
0.3434,0.001294,0.3423,0.1576
0.6783,0.002336,0.2355,0.2512
0.6008,0.001929,0.2749,0.1658
0.9273,0.00151,0.1396,0.08389
1.108,0.002425,0.04144,0.2149
1.177,0.005251,0.3712,0.2473
1.937,0.004017,0.1571,0.1354
2.068,0.005425,0.1904,0.1803
2.683,0.007368,0.2138,0.1723
3.206,0.009944,0.1982,0.2386
3.032,0.01106,0.2723,0.2426
4.31,0.01194,0.1894,0.2021
5.173,0.01578,0.1917,0.2373
6.442,0.02,0.2186,0.2204
8.184,0.02452,0.2223,0.2009
9.836,0.02978,0.2117,0.2164
12,0.03621,0.2132,0.2134
14.29,0.04343,0.2118,0.2179
17.21,0.05227,0.2151,0.2144
21.83,0.06648,0.2166,0.214
27.07,0.07823,0.2005,0.2081
33.02,0.0954,0.1998,0.2088
40.18,0.1151,0.1941,0.2107
49.17,0.1388,0.1885,0.2102
61.71,0.171,0.1827,0.2085
77.83,0.2069,0.1719,0.2028
99.89,0.2546,0.1564,0.2012
129.5,0.3088,0.1353,0.1965
171,0.3781,0.1148,0.1889
235.4,0.4601,0.08665,0.1752
327.9,0.5594,0.06077,0.1594
463.4,0.6811,0.04251,0.1407
680,0.8335,0.02622,0.1197
1023,1.009,0.009386,0.09821
1364,1.257,0,0.09212
