Var1,Var2,Var3,Var4
shear rate [1/s],shear stress [Pa],viscosity [Pa s],Torque [μN m]
0.0101,0.00512,0.506,0.125
0.0105,0.00512,0.489,0.125
0.0108,0.00512,0.472,0.125
0.0112,0.0054,0.484,0.132
0.0115,0.00569,0.495,0.139
0.0119,0.00555,0.465,0.136
0.0123,0.0056,0.455,0.137
0.0127,0.00607,0.478,0.148
0.0131,0.00621,0.474,0.152
0.0136,0.00624,0.46,0.152
0.014,0.00631,0.45,0.154
0.0145,0.00664,0.46,0.162
0.0149,0.0067,0.448,0.164
0.0154,0.00675,0.438,0.165
0.0159,0.00728,0.457,0.178
0.0165,0.00738,0.448,0.18
0.017,0.00742,0.436,0.181
0.0175,0.00776,0.443,0.19
0.0182,0.00777,0.428,0.19
0.0187,0.00822,0.439,0.201
0.0193,0.00837,0.433,0.205
0.02,0.00854,0.427,0.209
0.0207,0.00889,0.43,0.217
0.0213,0.00889,0.417,0.217
0.022,0.00931,0.423,0.228
0.0227,0.00978,0.431,0.239
0.0235,0.00965,0.411,0.236
0.0242,0.01,0.413,0.245
0.025,0.0103,0.413,0.253
0.0259,0.0107,0.412,0.26
0.0267,0.0112,0.42,0.274
0.0276,0.0111,0.404,0.272
0.0285,0.0115,0.403,0.28
0.0294,0.0114,0.389,0.28
0.0304,0.0118,0.389,0.289
0.0314,0.0123,0.392,0.3
0.0325,0.0123,0.379,0.301
0.0335,0.0129,0.384,0.314
0.0346,0.0137,0.396,0.334
0.0357,0.014,0.393,0.343
0.0369,0.0148,0.4,0.361
0.0382,0.0147,0.385,0.359
0.0394,0.0147,0.373,0.359
0.0407,0.0155,0.381,0.379
0.042,0.0164,0.391,0.401
0.0434,0.0161,0.371,0.394
0.0447,0.0176,0.393,0.43
0.0463,0.0177,0.383,0.433
0.0478,0.0179,0.374,0.437
0.0494,0.0183,0.371,0.447
0.051,0.0191,0.375,0.467
0.0527,0.0196,0.372,0.478
0.0544,0.02,0.368,0.489
0.0561,0.0208,0.37,0.508
0.058,0.0212,0.366,0.519
0.0599,0.0216,0.36,0.527
0.0619,0.022,0.356,0.538
0.0639,0.0229,0.359,0.56
0.066,0.0232,0.352,0.568
0.0682,0.0239,0.35,0.584
0.0703,0.025,0.355,0.611
0.0727,0.0262,0.361,0.641
0.0752,0.0255,0.34,0.624
0.0776,0.0264,0.341,0.646
0.0802,0.0267,0.334,0.653
0.0827,0.0289,0.35,0.707
0.0854,0.0283,0.332,0.692
0.0884,0.0281,0.318,0.688
0.0913,0.0298,0.326,0.728
0.0943,0.0302,0.321,0.739
0.0974,0.0309,0.318,0.756
0.1,0.0319,0.318,0.781
0.104,0.0332,0.32,0.811
0.107,0.0341,0.318,0.833
0.111,0.0351,0.318,0.858
0.114,0.0349,0.305,0.853
0.118,0.0369,0.312,0.901
0.122,0.037,0.303,0.903
0.126,0.0382,0.303,0.933
0.13,0.0388,0.298,0.948
0.134,0.0406,0.303,0.993
0.139,0.0408,0.294,0.997
0.143,0.0414,0.289,1.01
0.148,0.0427,0.288,1.04
0.153,0.0439,0.287,1.07
0.158,0.0461,0.292,1.13
0.163,0.0446,0.273,1.09
0.168,0.0473,0.281,1.16
0.174,0.0492,0.283,1.2
0.18,0.0491,0.273,1.2
0.186,0.0494,0.266,1.21
