Var1,Var2,Var3,Var4
strain [%],shear stress [Pa],storage modulus [Pa],loss modulus [Pa]
0.0354,0.0019,0.0714,5.37
0.523,0.00296,0.553,0.123
0.955,0.00164,0.164,0.0485
1.18,0.00283,0.236,0.0383
1.49,0.00463,0.237,0.201
1.45,0.00514,0.301,0.187
2.12,0.00409,0.143,0.129
2.96,0.007,0.176,0.158
3.31,0.00855,0.189,0.175
4.35,0.0115,0.164,0.208
4.79,0.0134,0.186,0.209
6.26,0.0169,0.192,0.189
7.95,0.0194,0.172,0.172
9.38,0.0231,0.156,0.19
11.3,0.0302,0.17,0.207
14.2,0.0351,0.163,0.186
16.6,0.0431,0.179,0.187
20.4,0.0526,0.176,0.189
25.5,0.0642,0.168,0.188
31.5,0.0787,0.165,0.187
38.5,0.0949,0.163,0.185
47.2,0.115,0.161,0.181
59.4,0.141,0.153,0.182
73.2,0.171,0.15,0.18
93.5,0.21,0.137,0.178
120,0.254,0.124,0.173
156,0.309,0.106,0.167
208,0.375,0.0865,0.158
293,0.461,0.0582,0.146
416,0.559,0.0356,0.13
611,0.682,0.0157,0.11
902,0.831,0.00459,0.092
1340,1.01,0.00123,0.0754
1630,1.26,0,0.0769
